Station,Longitude,Latitude,Depth,Weight,Lycopodium,Lyc_tab,Non-quat dinos,Iacu,Ipal,Ipar,Ipat,Isph,Istr,Ivel,Btep,Lmac,Lspp,Char,Nlab,Ocen,Ojan,Pret,Smir,Sram,Sspp,Pdal,Imin,Bspp,Squa,Snep,Gymn,Echi,Dcha,Numb,Sant,Ssp1,Cmer,Pgla,tot_gg
ANT 33_A1-08,-165.79,-78.17,498,7.2328,2711,19855,25,,,,,,,,,,1,,,,,,,,,,,,,,,,,,4,140,,,147
ANT 33_A1-07,-163.04,-78.17,679,7.057,2240,19855,12,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,59,,,77
ANT 33_A1-05,-162.68,-77.40,658,7.9432,1932,19855,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,66
ANT 32_RB16B,175.12,-74.51,478,9.9747,1370,19855,0,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,7,93,,,148
ANT 32_RB11B,174.60,-77.27,494,12.5466,1674,19855,3,,,,,,,,,,,,,1,,,,,,,,3,,,,,,,,113,2,,112
ANT 32_RB08B,179.85,-77.31,670,6.9498,1207,19855,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,112,,,267
ANT 32_RB07B,-178.90,-77.05,628,8.3416,899,19855,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,,,405
ANT 32_RB06B,-178.24,-76.71,619,10.7079,884,19855,4,,,,,,,,,,,,,2,,1,,,,,,13,1,,,,,,,118,8,,300
ANT 32_RB05B,-177.72,-76.41,606,7.8146,661,19855,2,,1,,,,,,,,,,,2,,,,,,,,8,,,,,,2,2,180,5,,769
ANT 32_RB03B,-176.87,-75.75,610,13.3023,1931,19855,6,,1,,,,,,,3,,,,10,,,,,,,3,8,,,,,,,2,22,,3,38
ANT 32_AB18B,-128.15,-71.90,3463,10.3506,1357,19855,22,,13,,,,,,,1,,,1,18,,4,,,,,2,2,,,,,,3,1,1,,,65
ANT 31_R14,164.80,-74.94,901,7.3217,1954,19855,12,1,2,,,,,,,,,,,3,,,,,,,14,10,,,,,,81,6,23,4,5356,200
ANT 31_R11,167.81,-74.95,449,6.3596,924,19855,6,,2,,,,,,,,,,,,,,,,,,10,14,,,5,,,55,12,93,10,3024,679
ANT 31_R10,167.00,-75.00,636,6.6833,704,19855,2,,,,,,,,,,,,,,,,,,,,20,8,,,,,,94,14,34,,665,717
ANT 31_R09,166.00,-75.00,1032,7.0643,944,19855,6,1,2,,,,,,,,,,,5,,,,,,,10,6,,,,,,82,6,28,,2424,417
ANT 31_R05,167.78,-74.78,586,6.2598,562,19855,6,,6,,,,,,,,,,,12,,1,,,,,14,22,,,6,,,58,10,71,,1121,1129
ANT 31_R02,165.13,-74.79,719,8.7758,716,19855,14,,,,,,,,,1,,,,,,,,,,,30,14,,,,,,23,1,18,7,5970,297
ANT 31_JB05,173.19,-74.76,497,8.0186,808,19855,15,,4,,,,,,,,,,,,,1,,,,,11,6,,,,,,,,108,,,398
ANT 31_JB04,172.37,-75.30,511,6.6894,285,19855,11,,,,,,,,,,,,,,,1,,,,,4,7,,,,,,,,41,,,552
ANT 31_JB01,165.57,-77.59,774,8.2599,401,19855,1,,,,,,,,,,,,,,,2,,,,,15,4,,,,,,75,8,79,1,1932,1103
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
