Station,Longitude,Latitude,Contributors,Dino_tot,Aand,Atax,Btep,Bspo,Crug,Iacu,Icas,Ipal,Ipar,Ipat,Isph,Istr,Ipli,Ivel,Ijap,Ivar,Lmac,Mcho,Nlab,Nrig,Oagu,Ocen,Oisr,Ojan,Olon,Ogig,Pzoh,Pret,Smem,Scru,Sdel,Selo,Sram,Sbel,Sben,Sbul,Slaz,Smir,Sgra,Spac,Sspp,Tpel,Pdal,Stri,Imin,Imic,Ibre,Ekar,Bspp,Dubr,Peri,Lspp,Snep,Xxan,Squa,Pnud,Tapp,Tvar,Vcal,Vspi,Pame,Qcon,Psch,Parc,Pkof,Phar,Gymn,Eacu,Egra,Edel,Etra,Ezon,Espp,Sste,Sbif,Cysa,Tvan,Dcha,Bbal,Ppsi,Sant,Ppon,Srob,Pmon,Cmer,Ebis,Oaca,Srei,Tpal,Pgla,Pmin
G024,-66.30,50.00,de vernal et al DB1826,100.00,,0.65,1.30,,,,,,,,,,,,,,,,21.43,,,25.32,,,,,,,,,,4.55,6.17,,,,,,,,3.90,,22.08,,4.87,,,,5.52,,,,,,4.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G025,-66.20,49.60,de vernal et al DB1826,100.00,,0.32,0.64,,,,,,,,,,,,,,,,30.23,,,9.97,,,,,,,,,,0.96,,,,,,,,,2.57,,29.26,,0.96,,,,18.65,,,,,,4.50,,,,,,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G026,-66.10,49.23,de vernal et al DB1826,100.00,,0.73,0.36,,,,,,,,,,,,,,,,8.39,,,10.58,,,,,,,,,,1.09,3.65,,,,,,,,2.19,,30.66,,7.66,,,,21.17,,,,,,13.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G027,-64.60,49.35,de vernal et al DB1826,100.00,,,2.32,,,,,,,,,,,,,,,,34.11,,,21.19,,,,,,,,,,2.32,0.99,,,,,,,,1.32,,24.17,,0.99,,,,7.62,,,,,,4.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G028,-64.00,49.21,de vernal et al DB1826,100.00,,0.67,0.33,,,,,,,,,,,,,,,,29.43,,,23.08,,,,,,,,,,3.01,3.68,,,,,,,,1.34,,24.41,,3.34,,,,8.36,,,,,,2.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G029,-63.52,48.97,de vernal et al DB1826,100.00,,,0.32,,,,,,,,,,,,,,,,28.53,,,25.00,,,,,,,,,,4.49,2.56,,,,,,,,1.28,,23.40,,3.85,,,,7.69,,,,,,2.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G030,-63.10,48.81,de vernal et al DB1826,100.00,,0.66,0.98,,,,,,,,,,,,,,,,23.93,,,22.62,,,,,,,,,,4.26,0.33,,,,,,,,1.97,,25.57,,5.25,,,,11.48,,,,,,2.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G031,-62.10,48.57,de vernal et al DB1826,100.00,,0.28,2.25,,,,,,,,,,,,,,,,33.52,,,16.34,,,,,,,,,,4.23,0.85,,,,,,,,0.56,,23.94,,5.35,,,,9.86,,,,,,2.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G032,-61.58,48.41,de vernal et al DB1826,100.00,,0.66,,,,,,,,,,,,,,,,,21.45,,,19.47,,,,,,,,,,3.96,1.98,,,,,,,,0.99,,35.31,,2.31,,,,12.21,,,,,,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G033,-60.72,48.17,de vernal et al DB1826,100.00,,0.31,4.92,,,,,,,,,,,,,,,,4.62,,,32.92,,,,,,,,,,1.23,0.62,,,,,,,,0.92,,37.85,,2.15,,,,14.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G034,-60.12,47.89,de vernal et al DB1826,100.00,,0.25,3.56,,,,,,,,,,,,,,,,5.34,,,32.82,,,,,,,,,,2.29,0.25,,,,,,,,1.53,,40.97,,1.78,,,,10.94,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G035,-59.53,47.40,de vernal et al DB1826,100.00,,0.53,2.67,,,,,,,,,,,,,,,,4.01,,,31.02,,,,,,,,,,1.87,1.07,,,,,,,,1.60,,40.91,,1.34,,,,14.71,,,,,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G037,-64.08,50.25,de vernal et al DB1826,100.00,,0.36,0.36,,,,,,,,,,,,,,,,1.43,,,6.43,,,,,,,,,,3.57,3.93,,,,,,,,0.36,,7.86,,7.86,,,,65.00,,,,,,2.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G038,-64.08,50.21,de vernal et al DB1826,100.00,,0.62,,,,,,,,,,,,,,,,,0.62,,,6.21,,,,,,,,,,3.11,4.35,,,,,,,,0.62,,13.04,,13.04,,,,56.52,,,,,,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G039,-64.07,50.26,de vernal et al DB1826,100.00,,,,,,,,,,,,,,,,,,,,,,2.25,,,,,,,,,,1.29,2.25,,,,,,,,,,6.11,,9.97,,,,76.53,,,,,,1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G040,-61.97,50.18,de vernal et al DB1826,100.00,,,0.28,,,,,,,,,,,,,,,,1.93,,,11.29,,,,,,,,,,2.20,4.96,,,,,,,,1.65,,26.17,,9.37,,,,41.32,,,,,,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
