Station,Longitude,Latitude,Contributors,Dino_tot,Aand,Atax,Btep,Bspo,Crug,Iacu,Icas,Ipal,Ipar,Ipat,Isph,Istr,Ipli,Ivel,Ijap,Ivar,Lmac,Mcho,Nlab,Nrig,Oagu,Ocen,Oisr,Ojan,Olon,Ogig,Pzoh,Pret,Smem,Scru,Sdel,Selo,Sram,Sbel,Sben,Sbul,Slaz,Smir,Sgra,Spac,Sspp,Tpel,Pdal,Stri,Imin,Imic,Ibre,Ekar,Bspp,Dubr,Peri,Lspp,Snep,Xxan,Squa,Pnud,Tapp,Tvar,Vcal,Vspi,Pame,Qcon,Psch,Parc,Pkof,Phar,Gymn,Eacu,Egra,Edel,Etra,Ezon,Espp,Sste,Sbif,Cysa,Tvan,Dcha,Bbal,Ppsi,Sant,Ppon,Srob,Pmon,Cmer,Ebis,Oaca,Srei,Tpal,Pgla,Pmin
A980,-19.50,66.50,de vernal et al DB1826,100.00,,,0.34,,,,,0.08,,,0.25,,,,,,,,13.29,,,32.60,,,,,,,,,,2.54,9.82,,,,,,,,,,36.58,,1.02,,,,0.68,,,,,,1.44,,,,,,1.10,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A981,-17.97,66.99,de vernal et al DB1826,100.00,,,0.18,,,,,,,,0.18,,,,,,,,10.58,,,21.35,,,,,,,,,,5.11,8.94,,,,,,,,,,44.34,,0.55,,,,4.20,,,,,,3.47,,,,,,0.18,0.18,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A982,-18.75,66.76,de vernal et al DB1826,100.00,,,0.89,,,,,0.10,,,0.50,,,,,,,,20.12,,,31.52,,,,,,,,,,3.67,9.22,,,,,,,,,,26.36,,0.79,,,,2.78,,,,,,1.59,,,,,,1.29,0.40,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A983,-17.07,67.58,de vernal et al DB1826,100.00,,,0.30,,,,,1.78,,,,,,,,,,,10.70,,,26.60,,,,,,,,,,1.49,2.67,,,,,,,,,,55.27,,0.15,,,,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A984,-18.47,71.19,de vernal et al DB1826,100.00,,,0.33,,,,,8.82,,,,,,,,,,,12.75,,,69.61,,,,,,,,,,2.29,0.65,,,,,,,,,,0.65,,4.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A985,-27.86,68.10,de vernal et al DB1826,100.00,,,,,,,,6.54,,,0.93,,,,,,,,40.19,,,8.41,,,,,,,,,,,0.93,,,,,,,,,,7.48,,34.58,,,,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A986,-6.20,51.63,de vernal et al DB1826,100.00,,0.23,5.48,,,,,,,,,,,,,,0.23,,,,,11.64,,,,,,,4.34,,0.23,3.88,23.06,0.23,0.23,0.46,0.46,0.68,,,5.94,,1.37,1.60,0.46,,,,8.90,2.51,,1.83,,0.23,6.62,0.68,1.60,,1.14,,0.23,6.16,8.90,,,,0.46,,,,,,,0.23,,,,,,,,,,,,,,,,,
A987,-6.50,51.35,de vernal et al DB1826,100.00,,0.19,6.13,,,0.19,,0.19,0.19,,,,,,,,0.19,,,,,14.13,,,,,,,5.58,,0.19,5.58,19.89,0.19,0.19,0.37,0.37,0.74,,,6.69,,1.12,0.74,0.19,,,,6.88,2.60,,1.12,0.19,,6.51,0.37,2.60,,0.93,,0.19,5.76,9.29,,,,0.37,,,,,,,0.19,,,,,,,,,,,,,,,,,
A988,-6.15,51.03,de vernal et al DB1826,100.00,,0.74,6.31,,,,,,,,,,,,,,0.37,,,,,18.55,,,,,,,3.34,,0.19,5.75,19.85,0.37,0.19,0.56,0.93,2.04,,,6.12,,0.74,0.93,0.37,,,,6.31,1.86,,1.67,0.19,0.19,5.01,0.37,2.23,,0.74,,0.19,6.49,6.68,,,,0.37,,,,,,,0.37,,,,,,,,,,,,,,,,,
A989,-5.90,51.23,de vernal et al DB1826,100.00,,0.50,2.97,,,,,,,,,,,,,,0.25,,,,,15.59,,,,,,,2.72,,0.25,5.20,28.47,0.50,,0.25,0.50,1.49,,,6.19,,0.99,1.73,0.25,,,,9.90,2.23,,1.49,,0.25,4.46,0.25,1.49,,0.74,,0.25,5.20,3.96,,,,0.99,,,,,,,0.99,,,,,,,,,,,,,,,,,
A990,-6.06,51.28,de vernal et al DB1826,100.00,,0.21,5.61,,,0.21,,0.21,,,,,,,,,0.42,,,,,16.42,,,,,,,2.91,,0.21,6.24,24.32,0.42,0.21,0.42,1.25,1.87,,,6.03,,0.83,0.83,0.21,,,,6.86,2.08,,1.46,0.21,0.21,3.95,0.42,2.29,,0.83,,0.21,6.24,5.61,,,,0.42,,,,,,,0.42,,,,,,,,,,,,,,,,,
A991,-5.83,51.08,de vernal et al DB1826,100.00,,0.24,3.41,,,,,,,,,,,,,,0.49,,,,,9.73,,,,,,,4.87,,0.24,4.62,21.17,0.24,,0.24,0.49,0.49,,,4.62,,0.73,1.46,0.24,,,,12.41,3.89,,1.70,0.24,0.49,4.62,0.49,1.70,,0.73,,0.24,8.03,10.46,,,,1.22,,,,,,,0.49,,,,,,,,,,,,,,,,,
A992,-4.46,52.73,de vernal et al DB1826,100.00,,0.26,1.83,,,,,,,,0.26,,,,,,13.35,,,,,5.50,,,,,,,13.09,,0.52,3.66,6.28,0.79,2.09,0.26,0.52,0.79,,0.26,7.07,,0.26,1.57,1.31,,,,13.61,6.81,,2.36,,0.52,2.09,0.26,1.05,,1.83,0.52,0.52,7.07,3.14,,,,0.52,,,,,,,,,,,,,,,,,,,,,,,,
F994,-127.64,70.81,de vernal et al DB1826,100.00,,,,,,,,,,,,,,,,,,,,,,64.71,,,,,,,,,,0.98,,,,,,,,,,,12.75,,5.88,,,,13.73,,,,,,,,,,,,,,,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,
F995,-133.81,71.45,de vernal et al DB1826,100.00,,,,,,,,,,,,,,,,,,,,,,59.80,,,,,,,,,,3.92,0.98,,,,,,,,,,7.84,,2.94,,,,24.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F996,-133.52,71.15,de vernal et al DB1826,100.00,,,,,,,,0.95,,,,,,,,,,,,,,30.48,,,,,,,,,,1.90,1.90,,,,,,,,0.95,,0.95,,11.43,,,,49.52,,,,,,,,,,,,,,,1.90,,,,,,,,,,,,,,,,,,,,,,,,,,,
F997,-133.52,70.15,de vernal et al DB1826,100.00,,,,,,,,,,,,,,,,,,,,,,49.51,,,,,,,,,,3.88,,,,,,,,,0.97,,2.91,,15.53,,,,26.21,,,,,,,,,,,,,,,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,
F998,-133.63,70.84,de vernal et al DB1826,100.00,,,,,,,,,,,,,,,,,,,,,,44.19,,,,,,,,,,5.43,,,,,,,,,,,7.75,,4.65,0.78,,,34.11,,,,,,0.78,,,,,,,,,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,
F999,-128.52,71.27,de vernal et al DB1826,100.00,,,,,,,,,,,,,,,,,,,,,,42.06,,,,,,,,,,3.17,1.59,,,,,,,,1.59,,1.59,,11.11,,,,38.10,,,,,,,,,,,,,,,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1000,-123.50,70.65,de vernal et al DB1826,100.00,,,,,,,,,,,,,,,,,,,,,,47.58,,,,,,,,,,5.65,,,,,,,,,0.81,,40.32,,,,,,4.84,,,,,,,,,,,,,,,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1001,-139.30,70.40,de vernal et al DB1826,100.00,,,,,,,,,,,,,,,,,,,,,,74.77,,,,,,,,,,6.54,,,,,,,,,0.93,,1.87,,5.61,,,,9.35,,,,,,,,,,,,,,,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1002,-138.38,69.92,de vernal et al DB1826,100.00,,,,,,,,,,,,,,,,,,,,,,64.42,,,,,,,,,,4.29,,,,,,,,,0.61,,6.13,,7.98,,,,16.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1004,-122.97,70.58,de vernal et al DB1826,100.00,,,,,,,,0.86,,,,,,,,,,,,,,65.52,,,,,,,,,,2.59,,,,,,,,,,,28.45,,,,,,2.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1005,-4.30,36.20,de vernal et al DB1826,100.00,,,,,,2.62,,,1.12,,1.12,0.75,,,,,41.95,,,,,6.74,,,,,,,,,,,2.25,,,0.37,,25.09,,,3.75,,0.75,,1.12,,,,8.24,,,0.37,2.62,,0.75,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1008,-3.06,36.58,de vernal et al DB1826,100.00,,,,,,1.21,,,0.61,0.61,0.61,,0.61,,,,13.33,,1.82,,,20.61,3.03,,,,,0.61,0.61,,,,4.85,0.61,,1.21,,28.48,0.61,,11.52,,,,,,,,,,,,3.03,,0.61,,,,,,,1.21,4.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1009,-3.00,36.48,de vernal et al DB1826,100.00,,,,,,13.23,,,2.12,1.59,,,,,,,12.17,,2.12,,,26.46,0.53,0.53,,,,,,,,,2.12,,,0.53,,32.28,,,2.12,0.53,,,,,,,,,,,2.65,,,,,,,,,0.53,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1010,-2.91,36.29,de vernal et al DB1826,100.00,,,,,,12.44,,,0.48,1.44,0.96,,,,,,4.78,,0.48,,,30.62,0.48,,,,,0.48,,,,,3.35,0.48,0.96,,,40.19,0.48,,2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1011,-2.85,36.08,de vernal et al DB1826,100.00,,0.43,,,,4.26,,,0.85,0.43,,,,,,,19.57,,1.28,,,9.36,,0.43,,,,1.70,0.85,,,,3.40,0.43,,0.43,,53.62,,,2.55,,,,,,,,,,,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1012,-2.85,36.19,de vernal et al DB1826,100.00,,,,,,11.20,,,0.83,0.41,,,,,,,5.81,,0.41,,,30.71,1.24,,,,,0.41,,,,,5.39,1.66,,0.41,,37.34,,,3.32,,,,,,,,,,,,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1013,12.33,36.83,de vernal et al DB1826,100.00,,0.98,,,,9.80,,,5.39,5.88,,,0.49,0.98,,,5.39,,3.43,,,19.12,1.47,,,,,1.47,,,,,6.37,2.45,2.94,1.96,,25.00,0.49,,4.41,,,,,,,,0.98,,,,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1016,9.21,37.30,de vernal et al DB1826,100.00,,,,,,,,,,,,,,,,,46.97,,3.03,,,9.09,,,,,1.52,,,,,,9.09,,,,,15.15,,,,,,,,,,,,,,,,,12.12,,,,,,,,3.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1017,9.21,39.03,de vernal et al DB1826,100.00,,,,,,,,,,1.52,,,,,,,13.64,,,,,30.30,1.52,,,,,,,,,,12.12,,9.09,1.52,,13.64,,,3.03,,,,,,,,,,,,7.58,,6.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1018,2.66,36.78,de vernal et al DB1826,100.00,,,,,,1.18,,,,,,,,,,,2.35,,,,,14.12,,,,,,,,,,,5.88,,,,,8.24,,,2.35,,,,,,,,1.18,,,,2.35,,,,,,,,,1.18,61.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1019,9.20,37.34,de vernal et al DB1826,100.00,,,,,,,,,1.10,,,,1.10,,,,41.76,,,,,14.29,1.10,,,,,,,,,,12.09,,4.40,,,14.29,2.20,,3.30,,,,,,,,,,,,1.10,,1.10,,,,,,,,2.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1020,2.68,36.71,de vernal et al DB1826,100.00,,,,,,,,,,,,,,,,,6.59,,,,,3.30,,,,,,,,,,,7.69,1.10,,,,9.89,,,2.20,,,,,,,,,,,,,,,,,,,,,,69.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1021,9.25,39.03,de vernal et al DB1826,100.00,0.86,0.86,,,,2.59,,,3.45,3.45,1.72,,,,,,8.62,,,,,30.17,2.59,,,,,,,,,,17.24,,10.34,,,12.07,1.72,,4.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1022,2.64,36.74,de vernal et al DB1826,100.00,,0.83,,,,,,,,,,,0.83,,,,5.79,,0.83,,,7.44,,,,,0.83,,,,,,2.48,2.48,,,,6.61,,,2.48,,,,,,,,,,,,,,0.83,,,,,,,,68.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1023,2.66,36.71,de vernal et al DB1826,100.00,,,,,,,,,,,,,,,,,1.63,,,,,1.63,,,,,,,,,0.81,,2.44,,,,,17.07,,,1.63,,,,,,,,0.81,,,,1.63,,0.81,,,,,,,,71.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1024,9.28,39.03,de vernal et al DB1826,100.00,0.70,,,,,6.29,,,0.70,4.90,,,0.70,,,,13.29,,,,,24.48,1.40,,,,,0.70,0.70,,,,13.29,0.70,9.09,0.70,,11.19,3.50,,5.59,,,,,,,,,,,,1.40,,,,,,,,,,0.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1025,8.86,37.60,de vernal et al DB1826,100.00,,,,,,4.73,,,,2.70,1.35,,0.68,,,,10.14,,1.35,,,18.92,1.35,,,,,,,,,,7.43,2.03,4.73,1.35,,40.54,,,1.35,,,,,,,,,,,,,,,,,,,,,,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1026,2.75,37.60,de vernal et al DB1826,100.00,,,,,,22.15,,,2.01,1.34,,,0.67,,,,11.41,,,,,14.77,0.67,,,,,0.67,,,,,3.36,4.03,2.68,,,26.17,,,2.68,,,,,,,,1.34,,,,0.67,,0.67,,,,,,,,4.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1027,10.83,38.59,de vernal et al DB1826,100.00,,,,,,12.58,,,5.03,6.92,0.63,,,,,,3.14,,2.52,,,27.04,1.26,,,,,,,,,,6.92,,8.81,0.63,,20.13,1.26,,0.63,,,,,,,,1.26,,,,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1028,9.40,38.91,de vernal et al DB1826,100.00,,,,,,5.99,,,0.60,10.18,0.60,,,,,,6.59,,1.20,,,27.54,1.20,,,,,,0.60,,,,8.38,0.60,10.78,1.20,0.60,20.36,0.60,,2.40,,,,,,,,,,,,0.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1029,9.37,38.94,de vernal et al DB1826,100.00,,0.57,,,,11.36,,,2.27,7.95,0.57,,,,,,6.82,,,,,35.23,2.84,,,,,,,,,,13.07,2.27,2.84,0.57,,5.11,1.14,,5.11,,,,,,,,,,,,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1030,9.24,39.04,de vernal et al DB1826,100.00,1.04,0.52,,,,,,,,0.52,,,1.04,,,,15.10,,0.52,,,30.21,3.65,,,,0.52,,0.52,,0.52,,14.06,4.17,7.81,0.52,1.04,8.85,1.56,,4.17,,,,,,,,,,,,3.13,,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1031,10.71,38.69,de vernal et al DB1826,100.00,,,,,,18.81,,,3.47,11.39,2.48,,0.99,,,,2.97,,1.98,,,24.75,0.50,,,,,0.50,,,,,9.90,1.49,8.42,,,10.89,,,0.99,,,,,,,,,,,,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1032,8.81,37.64,de vernal et al DB1826,100.00,,,,,,14.36,,,2.97,1.49,0.99,,0.50,,,,10.40,,1.49,,,13.86,0.50,,,,0.50,,,,,,11.88,1.49,4.46,0.50,0.50,31.68,0.99,,,,,,,,,,,,,,0.50,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1033,10.59,38.93,de vernal et al DB1826,100.00,0.49,,,,,26.96,,,4.90,23.53,2.45,,1.47,,,,0.98,,0.98,,,14.22,,,,,,,,,,,4.90,0.98,9.80,0.49,,5.39,,,0.49,,,,,,,,0.49,,,,1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1034,-0.63,37.54,de vernal et al DB1826,100.00,,,,,,0.98,,,0.98,2.44,0.98,0.49,,,,,6.83,,,,,17.07,8.29,,,,3.41,,0.49,,0.49,,10.73,2.44,,1.46,0.49,31.71,1.95,,5.37,,,,,,,,0.98,,,,0.98,,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1035,9.34,38.58,de vernal et al DB1826,100.00,,0.49,0.49,,,22.55,,,1.47,4.90,1.96,0.49,0.49,,,,2.94,,2.45,,,26.47,0.98,,,,,2.45,,,,,10.78,,6.86,,,12.25,0.49,,0.49,,,,,,,,,,,,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1036,8.81,37.64,de vernal et al DB1826,100.00,,,,,,19.02,,,2.44,5.37,,,0.49,,,,9.27,,0.98,,,12.68,1.46,,,,0.49,,,,,,9.27,1.95,3.90,0.49,,26.34,0.98,,2.44,,,,,,,,,,,,1.46,,,,,,,,,,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1037,9.48,38.85,de vernal et al DB1826,100.00,0.48,,,,,13.53,,,1.93,11.59,1.45,,0.97,0.48,,,2.90,,0.97,,,27.05,1.45,,,,,,,,,,14.01,0.97,4.35,0.48,0.48,10.63,2.42,,2.90,,,,,,,,,,,,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1038,10.75,38.66,de vernal et al DB1826,100.00,,,,,,18.45,,,2.43,14.56,0.97,,1.94,0.97,,,3.88,,1.94,,,26.70,0.97,,,,,,,,,,7.28,,5.83,,,12.62,,,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1039,-0.49,37.05,de vernal et al DB1826,100.00,,,1.92,,,11.54,,,0.48,2.88,2.40,,0.48,0.48,,,10.58,,1.44,,,14.90,0.96,0.48,,,,0.96,0.96,,0.96,,5.29,2.40,0.96,,0.48,28.37,0.48,,6.25,,,,,,,,1.92,,,,0.96,,0.96,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1040,11.34,38.25,de vernal et al DB1826,100.00,,,,,,27.75,,,5.74,11.96,1.91,,0.48,,,,2.39,,1.91,,,18.18,0.48,,,,,,,,,,5.74,1.44,4.31,0.96,,13.40,,,0.96,,,,,,,,0.48,,,,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1041,11.28,38.31,de vernal et al DB1826,100.00,0.47,0.47,,,,17.54,,,5.21,10.90,2.37,0.47,,0.95,,,1.42,,0.95,,,23.22,,,,,,0.95,,,,,6.16,1.90,5.69,,,19.43,,,1.42,,,,,,,,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1042,8.83,37.63,de vernal et al DB1826,100.00,,,,,,12.80,,,3.32,3.32,1.42,0.95,1.42,0.47,,,5.21,,1.90,,,16.59,1.90,,,,,0.95,,,,,9.95,0.95,6.16,1.42,,28.44,,,,,,,,,,,,,,,0.95,,,,,,,,,,1.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1043,8.76,37.70,de vernal et al DB1826,100.00,,,,,,11.96,,,1.91,3.35,,,1.91,,,,6.70,,0.96,,,11.00,2.39,,,,,0.48,,,,,8.13,0.48,6.22,,,39.23,1.44,,2.87,,,,,,,,,,,,0.48,,,,,,,,,,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1044,8.38,38.09,de vernal et al DB1826,100.00,0.47,,,,,35.38,,,2.83,2.83,1.42,0.47,,0.47,,,6.13,,2.36,,,7.55,0.47,,,,,,,,,,9.91,0.94,9.43,0.47,,14.15,,,0.94,,,,,,,,,,,,2.36,,,,,,,,,,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1045,11.39,37.07,de vernal et al DB1826,100.00,,0.95,,,,8.06,,,3.79,0.95,0.95,,1.42,,,,2.84,,3.79,,,13.74,1.42,,,,,,,,,,10.90,3.79,0.95,1.42,,36.02,2.37,,3.32,0.47,,,,,,,0.47,,,,1.90,,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1046,-0.65,37.40,de vernal et al DB1826,100.00,,,,,,6.10,,,,2.82,0.94,,,,,,7.98,,0.47,,,22.07,1.88,,,,7.04,,,,0.47,,10.80,2.82,1.41,1.41,,24.41,3.29,,5.16,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1047,-0.63,37.53,de vernal et al DB1826,100.00,,,,,,3.29,,,,2.35,0.47,0.47,,,,,11.27,,1.41,,,25.35,5.16,,,,5.16,0.47,1.41,,1.41,,4.69,2.82,,2.82,,18.78,1.41,,7.98,0.47,,,,,,,1.41,,,,,,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1048,8.84,37.61,de vernal et al DB1826,100.00,0.47,,,,,3.27,,,0.93,1.40,0.93,,,,,,7.01,,2.34,,,16.36,4.67,,,,0.47,,,,,,9.81,1.40,2.34,,,41.12,2.80,,3.27,,,,,,,,,,,,0.93,,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1049,8.73,37.72,de vernal et al DB1826,100.00,0.94,,,,,20.28,,,3.30,3.77,,0.47,0.47,,,,6.60,,0.47,,,11.32,0.47,,,,,0.47,,,,,6.60,1.42,6.60,1.42,0.47,29.25,0.47,,3.77,,,,,,,,,,,,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1050,10.78,38.64,de vernal et al DB1826,100.00,,,,,,24.07,,,2.78,6.94,1.85,0.46,,0.93,,,2.78,,1.85,,,25.00,0.93,,,,,0.93,,,,,5.09,1.39,5.09,0.46,,16.20,,,1.39,,,,,,,,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1051,10.74,38.68,de vernal et al DB1826,100.00,,,,,,22.33,,,3.72,7.44,1.40,0.47,0.47,,,,2.33,,3.72,,,23.26,1.40,,,,,,,,,,4.65,,5.58,0.47,,19.53,0.47,,2.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1052,9.24,38.42,de vernal et al DB1826,100.00,,0.92,,,,27.52,,,3.67,9.63,1.83,,0.92,0.46,,,1.83,,2.29,,,19.72,0.46,,,,,0.46,,,,,5.50,0.46,7.34,0.46,,13.30,0.46,,1.83,,,,,,,,,,,,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1053,8.72,37.80,de vernal et al DB1826,100.00,1.84,,,,,19.35,,,1.84,3.69,0.92,0.46,0.46,1.38,,,6.45,,2.76,,,12.90,0.46,,,,,0.46,,,,,8.29,1.38,6.45,0.92,,25.81,0.92,,1.38,0.46,,,,,,,,,,,0.92,,,,,,,,,,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1054,9.30,38.54,de vernal et al DB1826,100.00,,,,,,21.30,,,1.85,11.57,3.24,,0.93,0.93,,,3.70,,1.39,,,25.00,,,,,,0.93,,,,,4.63,0.46,8.80,0.46,,10.19,1.39,,2.78,,,,,,,,,,,,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1055,-0.63,37.54,de vernal et al DB1826,100.00,,,,,,3.20,,,0.91,0.46,0.46,0.46,,,,,3.20,,2.28,,,25.11,3.65,,,,,,,,0.46,,12.33,4.11,0.91,1.83,,25.11,4.57,,6.85,,,,,,,,,,,,0.46,,3.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1056,11.24,38.32,de vernal et al DB1826,100.00,0.91,,,,,14.16,,,5.94,9.13,1.83,,,0.46,,,4.11,,0.46,,,20.55,1.37,,,,,1.37,,,,,9.59,,5.48,,,18.26,0.46,,2.28,,,,,,,,2.28,,,,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1057,10.76,38.65,de vernal et al DB1826,100.00,,,,,,20.44,,,8.44,7.56,2.22,0.44,0.89,0.44,,,2.22,,0.44,,,23.56,0.89,,,,,0.44,0.44,,,,5.33,,5.78,,,17.33,0.89,,1.78,,,,,,,,,,,,,,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1058,-0.64,37.45,de vernal et al DB1826,100.00,,,,,,9.36,,,1.28,1.28,1.28,,0.43,,,,4.26,,3.40,,,24.68,4.26,,,,2.13,0.43,,,0.43,,7.66,0.85,0.43,1.70,,24.68,5.11,,6.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1059,-0.53,37.17,de vernal et al DB1826,100.00,,,,,,6.38,,,1.70,2.13,0.85,,,,,,5.11,,0.85,,,24.26,0.85,,,,,,,,,,4.68,0.43,,0.85,,44.68,1.70,,5.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1060,8.95,38.24,de vernal et al DB1826,100.00,,,,,,27.92,,,2.08,8.75,1.25,0.42,1.67,,,,2.92,,1.67,,,17.50,0.42,,,,,0.83,,,,,8.33,,5.00,0.42,,20.00,0.42,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1061,-0.64,37.47,de vernal et al DB1826,100.00,,,,,,7.72,,,1.22,1.22,0.81,0.81,1.22,,,,4.88,,2.85,,,16.26,5.28,,,,7.32,,,,0.41,,3.66,4.88,,1.22,0.81,30.08,2.85,,5.69,0.41,,,,,,,,,,,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1062,1.35,40.07,de vernal et al DB1826,100.00,,,,,,41.67,,,,1.67,1.67,,,,,,,,5.00,,,13.33,1.67,,,,,,1.67,,,,5.00,3.33,5.00,1.67,1.67,8.33,,,8.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1063,0.50,37.58,de vernal et al DB1826,100.00,,,,,,16.46,,,3.80,5.06,1.90,,3.80,,,,2.53,,,,,7.59,5.06,,,,,,0.63,,,,8.86,,1.27,,1.90,39.24,,,1.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1064,-3.48,35.57,de vernal et al DB1826,100.00,,,,,,3.27,,,1.40,0.47,0.47,0.47,0.47,0.47,,,26.64,,,,,8.41,0.47,,,,,,0.93,,,,1.40,,1.40,,,38.32,,,5.61,,,,,,,,2.34,,,,6.54,,0.47,,,,,,,,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1066,2.94,39.12,de vernal et al DB1826,100.00,,,,,,,,,,1.10,,,,,,,19.78,,,,,24.18,1.10,,,,,,1.10,,,,15.38,1.10,3.30,,2.20,20.88,2.20,,7.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
